Id,Campamento,POINT_X,POINT_Y,camp
0,Campamento Bahía,660523.707086,9692317.68596,Camp Bahia
0,Campamento Mazán,643041.816457,9668644.59267,Camp Oroza
0,Campamento Bravo,631092.892698,9732537.61482,Camp Bravo
